z_index  z  Dang[Mpc]  mass[Msun]  conc  r_trunc[Mpc]  r200[Mpc]  r200[deg]  ngal  mstar  alpha
0  0.02  83.6539  4.69291e+13  4.58938  2.21865  0.739552  0.50653  12.2792  12.9311  -1
1  0.03  123.979  4.73649e+13  4.57368  2.21865  0.739552  0.341778  12.3691  13.8175  -1
2  0.04  163.339  4.78092e+13  4.55812  2.21865  0.739552  0.259418  12.4607  14.4482  -1
3  0.05  201.762  4.82621e+13  4.5427  2.21865  0.739552  0.210015  12.5539  14.9443  -1
4  0.06  239.273  4.87237e+13  4.52741  2.21865  0.739552  0.177091  12.6486  15.3526  -1
5  0.07  275.896  4.91941e+13  4.51226  2.21865  0.739552  0.153584  12.745  15.7014  -1
6  0.08  311.656  4.96734e+13  4.49724  2.21865  0.739552  0.135961  12.843  16.0009  -1
7  0.09  346.576  5.01617e+13  4.48235  2.21865  0.739552  0.122262  12.9426  16.269  -1
8  0.1  380.677  5.0659e+13  4.46758  2.21865  0.739552  0.11131  13.0439  16.5065  -1
9  0.11  413.981  5.11654e+13  4.45294  2.21865  0.739552  0.102355  13.1468  16.7247  -1
10  0.12  446.509  5.1681e+13  4.43842  2.21865  0.739552  0.0948989  13.2514  16.9244  -1
11  0.13  478.281  5.22059e+13  4.42402  2.21865  0.739552  0.0885948  13.3576  17.1099  -1
12  0.14  509.316  5.27402e+13  4.40974  2.21865  0.739552  0.0831962  13.4655  17.2807  -1
13  0.15  539.634  5.3284e+13  4.39557  2.21865  0.739552  0.0785221  13.575  17.4388  -1
14  0.16  569.252  5.38373e+13  4.38152  2.21865  0.739552  0.0744365  13.6862  17.5842  -1
15  0.17  598.189  5.44002e+13  4.36758  2.21865  0.739552  0.0708358  13.7992  17.7235  -1
16  0.18  626.46  5.49728e+13  4.35375  2.21865  0.739552  0.0676391  13.9138  17.8549  -1
17  0.19  654.083  5.55552e+13  4.34003  2.21865  0.739552  0.0647826  14.0301  17.9785  -1
18  0.2  681.074  5.61475e+13  4.32642  2.21865  0.739552  0.0622152  14.1481  18.0972  -1
19  0.21  707.448  5.67497e+13  4.31291  2.21865  0.739552  0.0598958  14.2679  18.2095  -1
20  0.22  733.22  5.7362e+13  4.29951  2.21865  0.739552  0.0577905  14.3894  18.3168  -1
21  0.23  758.405  5.79843e+13  4.28621  2.21865  0.739552  0.0558714  14.5126  18.4198  -1
22  0.24  783.017  5.86169e+13  4.27301  2.21865  0.739552  0.0541152  14.6375  18.5173  -1
